,accelerometer_raw,time,iss_height,iss_coordinates
201,"{'x': 0.01899457451839676, 'y': 0.033334190220675276, 'z': 0.012182019946761895}",1735914372.318696,413959.8913891472,"-46.725059128553575, -58.35909475513051"
202,"{'x': 0.019252105559464387, 'y': 0.03307478905553554, 'z': 0.01382268410175277}",1735914373.3191721,413957.30887272046,"-46.752749609451705, -58.27871055587158"
203,"{'x': 0.01875326256706485, 'y': 0.03297473643467653, 'z': 0.010614209920861241}",1735914374.3197818,413954.73124622175,"-46.78039210812582, -58.19819731747789"
204,"{'x': 0.019431705220668713, 'y': 0.0331839993596077, 'z': 0.012464883107255574}",1735914375.3237782,413952.1526843312,"-46.80805257747497, -58.11736120713825"
205,"{'x': 0.0192760005593299, 'y': 0.03278373676199648, 'z': 0.012531735625057648}",1735914376.323442,413949.59071943216,"-46.83554385731356, -58.03674922771515"
206,"{'x': 0.01794966520254175, 'y': 0.03264591826367337, 'z': 0.01230633514489365}",1735914377.3246698,413947.0312403439,"-46.86301262928804, -57.95593190049581"
207,"{'x': 0.018262926741383682, 'y': 0.03337238809292362, 'z': 0.013401462893380353}",1735914378.327273,413944.47527522926,"-46.89044968798894, -57.87493490146093"
208,"{'x': 0.018710885202799118, 'y': 0.0327345579833219, 'z': 0.012944658352810943}",1735914379.3411741,413941.90155796084,"-46.91810577599507, -57.79301293931568"
209,"{'x': 0.01859020062675236, 'y': 0.032794900271345295, 'z': 0.012582603242744003}",1735914380.334017,413939.37741775933,"-46.94520043639599, -57.71248076773909"
210,"{'x': 0.018469121575409166, 'y': 0.032855439797016904, 'z': 0.01221936470227072}",1735914381.343692,413936.82883801585,"-46.97261020583987, -57.63073454859834"
211,"{'x': 0.018348575248037884, 'y': 0.03291571296070256, 'z': 0.011857724339813256}",1735914382.345904,413934.2991834117,"-46.999796244367815, -57.5493776373264"
212,"{'x': 0.01766623490838819, 'y': 0.033152312485721674, 'z': 0.0126879997551441}",1735914383.344852,413931.784770628,"-47.026830099817566, -57.46819938385465"
213,"{'x': 0.01884705231025308, 'y': 0.03272941977906831, 'z': 0.012384947087024657}",1735914384.347414,413929.2711465446,"-47.05387449027971, -57.38671104710242"
214,"{'x': 0.0178119987249374, 'y': 0.034021144511750596, 'z': 0.014797716671883147}",1735914385.3507562,413926.75940103055,"-47.08090593249299, -57.30498109731752"
215,"{'x': 0.017881144871721134, 'y': 0.03360484340804499, 'z': 0.013039697385281733}",1735914386.351084,413924.26312748564,"-47.10777877641107, -57.223450243514876"
216,"{'x': 0.018519617103351354, 'y': 0.032465315063125326, 'z': 0.013047341903385214}",1735914387.3568199,413921.76345491206,"-47.13471682478557, -57.14143857777468"
217,"{'x': 0.017863204093841577, 'y': 0.0334922634459503, 'z': 0.013150917704198848}",1735914388.361196,413919.27320587914,"-47.16155418662672, -57.05944932583963"
218,"{'x': 0.018232246303685563, 'y': 0.03387525872441201, 'z': 0.014156576181886172}",1735914389.366422,413916.78540805774,"-47.188375129117475, -56.977224500076304"
219,"{'x': 0.017493488427230624, 'y': 0.03202049611412467, 'z': 0.011177735841620334}",1735914390.373879,413914.30275606154,"-47.21516339135886, -56.89481230500727"
220,"{'x': 0.019286760336295533, 'y': 0.03359245796477985, 'z': 0.01242247769501234}",1735914391.3767092,413911.83813236724,"-47.24176868444176, -56.812676125802206"
221,"{'x': 0.01900973123598768, 'y': 0.03271826945840708, 'z': 0.012222268076294191}",1735914392.3754492,413909.38944277633,"-47.26821786752111, -56.730736084556135"
222,"{'x': 0.017509209776991518, 'y': 0.0334279984235763, 'z': 0.01283209865728858}",1735914393.377923,413906.93858500704,"-47.29469203454638, -56.64843082617487"
223,"{'x': 0.018015823185921143, 'y': 0.0339160002768039, 'z': 0.01322336258417415}",1735914394.386208,413904.4839448364,"-47.32123801122824, -56.56561070300853"
224,"{'x': 0.018672080221052923, 'y': 0.0334279984235763, 'z': 0.013407837600726273}",1735914395.388048,413902.05040397355,"-47.34756210906442, -56.48319195794385"
225,"{'x': 0.017612129021474777, 'y': 0.03359013177004197, 'z': 0.013742669577005779}",1735914396.392961,413899.6203062805,"-47.37387003877507, -56.40053195171309"
226,"{'x': 0.01798616056159961, 'y': 0.03301357337541953, 'z': 0.01254458665408938}",1735914397.397248,413897.1937766297,"-47.40015798869365, -56.31764072359262"
227,"{'x': 0.01878605993839347, 'y': 0.03366618118441851, 'z': 0.012926183425108505}",1735914398.397762,413894.78633022215,"-47.42625062621698, -56.23507219650741"
228,"{'x': 0.019195539828505387, 'y': 0.03383488439928368, 'z': 0.01399042497869116}",1735914399.403604,413892.37437911937,"-47.45241765577524, -56.151972372169205"
229,"{'x': 0.018756662513778624, 'y': 0.03372516381424025, 'z': 0.013441828335282673}",1735914400.4076831,413889.97489543597,"-47.478468078043576, -56.068945942026765"
230,"{'x': 0.01646608534579374, 'y': 0.034556157426112906, 'z': 0.013341276554325574}",1735914401.415978,413887.57591122907,"-47.50454259733868, -55.98554341754097"
231,"{'x': 0.019093698305479637, 'y': 0.03388514896002835, 'z': 0.012825424420980572}",1735914402.416825,413885.1988307205,"-47.53038066545152, -55.9025992218297"
232,"{'x': 0.018673215741320734, 'y': 0.033145738468706096, 'z': 0.012984694561026574}",1735914403.415617,413882.83410230716,"-47.55610171955951, -55.819733423657084"
233,"{'x': 0.018630384273025994, 'y': 0.033143078127329105, 'z': 0.013592769662247208}",1735914404.4226,413880.46077135863,"-47.58195028805269, -55.73615538027025"
234,"{'x': 0.01837140693732313, 'y': 0.03405212898261204, 'z': 0.012882166548055988}",1735914405.416497,413878.1218376027,"-47.60742534157548, -55.653486755372825"
235,"{'x': 0.01857848774705363, 'y': 0.0339160002768039, 'z': 0.012306046813620887}",1735914406.4219441,413875.7668110818,"-47.6331139928562, -55.569822440922906"
236,"{'x': 0.018154254986151516, 'y': 0.03406338346621956, 'z': 0.013321744406417483}",1735914407.426835,413873.4246452175,"-47.65869169541287, -55.48621491180712"
237,"{'x': 0.0186969753875823, 'y': 0.032934518436611764, 'z': 0.013674958992381199}",1735914408.42413,413871.10264745855,"-47.68405265910145, -55.40301309313223"
238,"{'x': 0.018324971887023565, 'y': 0.034940036714582456, 'z': 0.012102018086898226}",1735914409.4273841,413868.7783649106,"-47.7094708124025, -55.31931842235987"
239,"{'x': 0.018970030927075294, 'y': 0.03406704616404733, 'z': 0.012567937171134438}",1735914410.428972,413866.466408818,"-47.7347722184796, -55.23570193984103"
240,"{'x': 0.018352251915288165, 'y': 0.034874741838567015, 'z': 0.012600754369538295}",1735914411.435155,413864.1512071539,"-47.76016325402134, -55.151479294198566"
241,"{'x': 0.01945872015115646, 'y': 0.03233851334413832, 'z': 0.012112616647663207}",1735914412.432846,413861.8623162029,"-47.7852489061455, -55.06796189758794"
242,"{'x': 0.018450880641498243, 'y': 0.033126237145118434, 'z': 0.012705678791591894}",1735914413.4382389,413859.5659687667,"-47.81045929456977, -54.9837182442473"
243,"{'x': 0.01867695291937474, 'y': 0.033783044969679855, 'z': 0.01308686110927957}",1735914414.43753,413857.29246603174,"-47.83544174376697, -54.8999259165911"
244,"{'x': 0.0185439996421337, 'y': 0.0340810237430947, 'z': 0.012930230751378982}",1735914415.44013,413855.01997184043,"-47.86044797136517, -54.8157415774105"
245,"{'x': 0.019009769736810025, 'y': 0.033969246197425994, 'z': 0.013388984241154494}",1735914416.4390552,413852.76073767885,"-47.88531508214574, -54.73171290293903"
246,"{'x': 0.01903025535534449, 'y': 0.032364272019874664, 'z': 0.012851247636762054}",1735914417.441511,413850.50635818124,"-47.91017167794528, -54.64740524966205"
247,"{'x': 0.0187879987061023, 'y': 0.033671997487545, 'z': 0.011870453415746413}",1735914418.445865,413848.2559845746,"-47.93501172825523, -54.56283664637964"
248,"{'x': 0.0192146247639407, 'y': 0.03397737351248691, 'z': 0.012659561514573755}",1735914419.45773,413846.00370122393,"-47.959937403984476, -54.4776549234764"
249,"{'x': 0.01942493702642171, 'y': 0.03376706044726591, 'z': 0.011502844070928272}",1735914420.45153,413843.7865471279,"-47.984432077642204, -54.39362930647179"
250,"{'x': 0.018723533896948006, 'y': 0.032656835358110266, 'z': 0.013375116177314208}",1735914421.457314,413841.5607353111,"-48.00908305419336, -54.30874744769105"
251,"{'x': 0.017810130985571795, 'y': 0.034158131601406995, 'z': 0.012338093094085699}",1735914422.457999,413839.3531588951,"-48.033567850344895, -54.22411694845726"
252,"{'x': 0.01739830527968598, 'y': 0.03273728159693464, 'z': 0.013093438952172642}",1735914423.462216,413837.1496103382,"-48.0580475221498, -54.139181440641615"
253,"{'x': 0.017569996464962483, 'y': 0.0335489998665444, 'z': 0.011833001678798902}",1735914424.466339,413834.95092869404,"-48.082492695069554, -54.05404054361561"
254,"{'x': 0.01836497800918434, 'y': 0.03379286107103236, 'z': 0.01256258913105784}",1735914425.467818,413832.7686414679,"-48.10677421287092, -53.96914495248455"
255,"{'x': 0.01932629268391412, 'y': 0.03279658548083874, 'z': 0.011913169040158102}",1735914426.4678972,413830.59680419683,"-48.13096799266762, -53.88423116766197"
256,"{'x': 0.01916322139293881, 'y': 0.0341835842900201, 'z': 0.01284794534516989}",1735914427.468229,413828.43428035156,"-48.15511508589031, -53.799154690439565"
257,"{'x': 0.01855431119965709, 'y': 0.033300843410150965, 'z': 0.01397558347466352}",1735914428.4677289,413826.2825916506,"-48.17915660714595, -53.714122931748975"
